store_name,city,address,phone,rating,website,hours,source,facebook
Hyperspace Comics & Games,Spruce Grove,"229 First Ave # 1, Spruce Grove, AB T7X 3X2",,"4.7
(166)",https://hyperspacecomics.com/,,,
Icons and Heroes,Edmonton,"Storefront #1776 WEM, Lower Level, 8882 170 St NW Unit N 106, entrance - 8, Edmonton, AB T5T 4J2",,"4.7
(136)",https://iconsandheroes.ca/,,,
"Jesse Johnston · Edson Buy, Sell and Trade",Hinton,,,,,,Facebook (via Google),https://www.facebook.com/groups/Edsonbuyselltrade/posts/10062460843791902/
King Arthur's Collectibles,Lethbridge,"304 13 St N, Lethbridge, AB T1H 2R8",,"5.0
(2)",https://www.ebay.ca/str/kingarthurscollectiblescanada?mkcid=16&mkevt=1&mkrid=711-127632-2357-0&ssspo=aZbMmwG3Tr6&sssrc=3418065&ssuid=aZbMmwG3Tr6&widget_ver=artemis&media=COPY,,Facebook (via Google),https://www.facebook.com/kingarthurscollectibles/
Lakeland Sports Cards,Cold Lake,"50 St, Bonnyville, AB T9N 2G3",,"5.0
(2)",https://lakelandsportscards.com/,,,
Level X Cards and Collectibles,Grande Prairie,levelxcards.com,,"5.0
(1)",https://levelxcards.com/,,,
Maple Leaf Sports,Calgary,"2400 Centre Street Northeast #4, Calgary, AB T2E 2T9",,"4.0
(114)",http://www.mapleleafsports.ca/,,,
Mission: Fun & Games,St. Albert,"560 St Albert Trl, St. Albert, AB T8N 6A7",,"4.7
(1,191)",http://www.boardgames.ca/,,,
Morrison Trading Post,Airdrie,"2903 Kingsview Blvd SE #202, Airdrie, AB T4A 0C4",,"4.4
(100)",https://morrisontradingpost.com/,,,
Olympic Sports Cards and Games,Calgary,"180 94 Ave SE, Calgary, AB T2J 3G8",,"4.7
(74)",http://www.olympicsportscardsandgames.com/,,Facebook (via Google),https://m.facebook.com/100073075794816/about/
One Man's Treasure,Westlock,,,,,,Facebook (via Google),https://www.facebook.com/story.php?story_fbid=1095101065732837&id=100056988623826
One Piece TCG Edson AB,Edson,,,,,,Facebook (via Google),https://www.facebook.com/groups/505179282058653/
Overtime Sports Cards & Grading,Calgary,"260300 Writing Creek Cres, Balzac, AB T0M 0E0",,"4.5
(42)",https://www.overtimesportscards.ca/,,Facebook (via Google),https://www.facebook.com/OvertimeSportsCards/
Paradise Games and Customs,Spruce Grove,"4 Spruce Ridge Dr #40, Spruce Grove, AB T7X 4S3",,"4.6
(28)",http://paradisegames.ca/,,,
Personalized Sportcards,Lethbridge,"2938 12 Ave N, Lethbridge, AB T1H 5J9",,,http://personalizedsportcards.com/,,,
Pirates Cove Collectibles Ltd,Lethbridge,"1253 2 Avenue a N, Lethbridge, AB T1H 0E9",,"4.2
(99)",https://www.facebook.com/profile.php?id=100054447371205,,,
Prisma Games,Edmonton,"9919 48 Ave NW, Edmonton, AB T6E 5H5",,"4.5
(143)",http://www.prismatcg.com/,,,
Quantum Comics & Collectibles,Camrose,"4939 49 St, Camrose, AB T4V 1N3",,"4.6
(98)",http://www.quantumcomics.ca/,,,
Retro,Camrose,"5017 51 St, Camrose, AB T4V 1S6",,"4.6
(287)",https://play-here.ca/,,,
Sentry Box Cards,Calgary,"1835B 10 Ave SW, Calgary, AB T3C 0K2",,"4.5
(285)",http://sentryboxcards.com/,,,
"Showcase Comics & Hobbies Ltd., Comics, Collectibles, RC, Boardgames",Lethbridge,"1271 3 Ave S, Lethbridge, AB T1J 0K2",,"4.8
(580)",https://showcasecomics.ca/,,,
Snap! Collectables,Airdrie,"224B Main St N, Airdrie, AB T4B 0R6",,"4.8
(331)",http://www.snapcollectables.com/,,,
Sports Closet,Sherwood Park,"2020 Sherwood Dr #209, Sherwood Park, AB T8A 5A2",,"4.4
(67)",https://sportscloset.ca/,,,
Sports Closet,St. Albert,"375 St Albert Trl #239, St. Albert, AB T8N 3K8",,"4.9
(14)",https://sportscloset.ca/,,,
Stettler Game Corner,Stettler,,,,,,Facebook (via Google),https://www.facebook.com/61572798704511
Strange Ideas Comics and Collectibles,Grande Prairie,"11601 99 St, Grande Prairie, AB T8V 6Z1",,"4.5
(192)",https://www.strangeideascomics.ca/,,,
THE FORT Gaming & Collectibles (board games & card ...,Fort Saskatchewan,,,,,,Facebook (via Google),https://www.facebook.com/groups/1557953431166623/
Tactical Magic Games Inc,Fort McMurray,"213 Timberline Dr #2, Fort McMurray, AB T9K 1S1",,"4.8
(93)",https://facebook.com/tacticalmagicgames,,,
Tailgate Mercantile Co.,Okotoks,,,,,,Facebook (via Google),https://www.facebook.com/tailgatemercantileco/
Taps Games,Beaumont,"2854 Calgary Trl NW, Edmonton, AB T6J 6V7",,"4.6
(513)",http://www.tapsgames.com/,,,
The Card Goat,Lethbridge,"9704 39 Ave NW #116, Edmonton, AB T6E 6M7",,"4.9
(68)",http://thecardgoat.ca/,,,
The Cardboard Casket,Medicine Hat,"1201 Kingsway Ave SE #201, Medicine Hat, AB T1A 2Y2",,"4.2
(31)",http://www.facebook.com/groups/thecardboardcasket,,,
The Data Base Camrose,Camrose,"5005 46 St, Camrose, AB T4V 3G3",,"5.0
(29)",http://www.thedatabasecamrose.ca/,,,
The Hobby Spot Leduc & Quarantined Case Breaks,Leduc,"6201 50 St #4, Leduc, AB T9E 7A8",,"4.9
(211)",http://www.thehobbyspot.ca/,,,
The Memorabilia Shop,Chestermere,"210 Springmere Close, Chestermere, AB T1X 1K1",,,,,,
"The Mill Store - Okotoks, AB",Okotoks,,,,,,Facebook (via Google),https://m.facebook.com/TheMillStoreOkotoks/mentions/
The Vault Sports Cards and Collectables,Lethbridge,"330 7 St S, Lethbridge, AB T1J 0N6",,"5.0
(54)",,,Facebook (via Google),https://www.facebook.com/p/The-Vault-Sports-Cards-and-Collectables-61561569530333/
ThunderGround Comics And Collectibles,St. Albert,"31 Fairview Blvd, St. Albert, AB T8N 3M5",,"4.7
(331)",http://www.thundergroundcomics.com/,,,
Toyz Game Emporium Inc,Grande Prairie,"11012 100 St #107, Grande Prairie, AB T8V 2N1",,"4.5
(263)",https://www.facebook.com/toyzgame/,,,
Treasure Cove Comics & Collectables,Airdrie,"118 1 Ave NE, Airdrie, AB T4B 0R6",,"4.4
(207)",http://www.treasurecoveltd.ca/,,,
WAYNE'S SPORTS CARDS AND COLLECTIBLES,Edmonton,,,,,,Facebook (via Google),https://www.facebook.com/WaynesSportsCards/
Wayne's Sports Cards & Collectibles,Edmonton,"17020 90 Ave NW, Edmonton, AB T5T 1L6",,"4.7
(294)",http://www.waynessportscards.com/,,,
West's Sports Cards,Edmonton,"7910 118 Ave NW, Edmonton, AB T5B 2L1",,"4.6
(283)",https://www.westssportscards.com/,,,
West's Sports Cards & Collectibles,Edmonton,,,,,,Facebook (via Google),https://www.facebook.com/wscsportscards/
Whitecourt Collectors Corner,Whitecourt,,,,,,Facebook (via Google),https://www.facebook.com/groups/524484261054738/
Wizard's Loft,Red Deer,,,,,,Facebook (via Google),https://www.facebook.com/WizardsLoft/
Wonderland Games,Grande Prairie,"10032 100 Ave., Grande Prairie, AB T8V 0V3",,"4.7
(296)",,,,
YEG NHLHockeyStickers.Com,Beaumont,"10323 78 Ave NW, Edmonton, AB T6E 1N8",,"4.0
(4)",http://www.nhlhockeystickers.com/,,,
Yellow Shirt Relics,Sylvan Lake,,,,,,Facebook (via Google),https://www.facebook.com/YellowShirtRelics/
at The Fort: Board Games& Card Games.,Fort Saskatchewan,,,,,,Facebook (via Google),https://www.facebook.com/groups/1557953431166623/posts/3317106068584675/
