Sheet row,Show Name,City,Province,Venue,Address,Start Date,End Date,Hours,Admission,Website,Source URL,Recurring,Table Booking,Organizer
121,CardFesta - 30th Anniversary Show,Brampton,ON,Bramalea City Centre,25 Peel Centre Dr,2026-09-20,,11:00 AM - 6:00 PM,,https://www.cardfesta.com,https://www.tcdb.com/CardShows.cfm?MODE=VIEW&ID=30825
156,Sport Card Expo Toronto,Mississauga,ON,The International Centre,6900 Airport Road,2026-11-06,,11:00 AM - 8:00 PM,,https://sportcardexpotoronto.com/,https://www.tcdb.com/CardShows.cfm?MODE=VIEW&ID=18009,monthly
158,Sport Card Expo Toronto,Mississauga,ON,The International Centre,6900 Airport Road,2026-11-07,,10:00 AM - 6:00 PM,,https://sportcardexpotoronto.com/,https://www.tcdb.com/CardShows.cfm?MODE=VIEW&ID=18010,monthly
159,Sport Card Expo Toronto,Mississauga,ON,The International Centre,6900 Airport Road,2026-11-08,,10:00 AM - 5:00 PM,,https://sportcardexpotoronto.com/,https://www.tcdb.com/CardShows.cfm?MODE=VIEW&ID=18011,monthly
