slug,Store Name,City,Province,Rating,Hours,Google address (verify match)
personalized-sportcards-lethbridge,Personalized Sportcards,Lethbridge,AB,,Monday: 8:00 AM – 6:00 PM; Tuesday: 8:00 AM – 6:00 PM; Wednesday: 8:00 AM – 6:00 PM; Thursday: 8:00 AM – 6:00 PM; Friday: 8:00 AM – 6:00 PM; Saturday: 8:00 AM – 6:00 PM; Sunday: 8:00 AM – 6:00 PM,"2938 12 Ave N, Lethbridge, AB T1H 5J9, Canada"
collectible-card-caddy-okotoks,Collectible Card Caddy,Okotoks,AB,,Monday: 8:00 AM – 4:00 PM; Tuesday: 8:00 AM – 4:00 PM; Wednesday: 8:00 AM – 4:00 PM; Thursday: 8:00 AM – 4:00 PM; Friday: 8:00 AM – 4:00 PM; Saturday: Closed; Sunday: Closed,"900 Village Ln 330, 14, Okotoks, AB T1S 1N1, Canada"
pandora-s-boox-olds,Pandora's Boox,Olds,AB,4.9 (259),Monday: 12:00 – 8:00 PM; Tuesday: 10:00 AM – 8:00 PM; Wednesday: 10:00 AM – 8:00 PM; Thursday: 10:00 AM – 8:00 PM; Friday: 10:00 AM – 12:00 AM; Saturday: 12:00 – 8:00 PM; Sunday: 12:00 – 6:00 PM,"Box 3883, 5009 51 St, Olds, AB T4H 1P6, Canada"
hob-s-hobbies-strathmore,HOB's Hobbies,Strathmore,AB,4.4 (100),Monday: Closed; Tuesday: 3:30 – 9:00 PM; Wednesday: 3:30 – 9:00 PM; Thursday: 3:30 – 9:00 PM; Friday: 3:30 – 9:00 PM; Saturday: 9:00 AM – 5:00 PM; Sunday: 12:00 – 5:00 PM,"95 Brent Blvd Unit 104, Strathmore, AB T1P 1V3, Canada"
ken-s-sports-cards-memorabilia-taber,Ken's Sports Cards & Memorabilia,Taber,AB,4.3 (12),,"4830 50 Ave, Taber, AB T1G 1H2, Canada"
al-s-sports-quest-whitecourt,Al's Sports Quest,Whitecourt,AB,4.9 (17),Monday: Closed; Tuesday: 11:00 AM – 5:00 PM; Wednesday: 11:00 AM – 5:00 PM; Thursday: 11:00 AM – 5:00 PM; Friday: 11:00 AM – 5:00 PM; Saturday: 11:00 AM – 5:00 PM; Sunday: Closed,"4164 Kepler St, Whitecourt, AB T7S 0A3, Canada"
sonny-s-collectables-terrace,Sonny's Collectables,Terrace,BC,4.7 (49),Monday: 10:00 AM – 6:00 PM; Tuesday: 10:00 AM – 6:00 PM; Wednesday: 10:00 AM – 6:00 PM; Thursday: 10:00 AM – 6:00 PM; Friday: 10:00 AM – 6:00 PM; Saturday: 10:00 AM – 6:00 PM; Sunday: 12:00 – 5:00 PM,"4736 Lakelse Ave Unit 7, Terrace, BC V8G 1R6, Canada"
ebenezer-s-comics-collectibles-vernon,Ebenezer's Comics & Collectibles,Vernon,BC,4.5 (485),Monday: 9:30 AM – 5:30 PM; Tuesday: 9:30 AM – 5:30 PM; Wednesday: 9:30 AM – 5:30 PM; Thursday: 9:30 AM – 5:30 PM; Friday: 9:30 AM – 5:30 PM; Saturday: 9:30 AM – 5:30 PM; Sunday: 11:00 AM – 4:00 PM,"3110 29 Ave, Vernon, BC V1T 1Z1, Canada"
neko-s-game-store-car-wash-thompson,Neko's (Game Store & Car Wash),Thompson,MB,4.3 (95),Monday: 8:30 AM – 8:30 PM; Tuesday: 8:30 AM – 8:30 PM; Wednesday: 8:30 AM – 8:30 PM; Thursday: 8:30 AM – 8:30 PM; Friday: 8:30 AM – 8:30 PM; Saturday: 9:00 AM – 8:30 PM; Sunday: 10:00 AM – 8:00 PM,"5 Thompson Dr N, Thompson, MB R8N 2B5, Canada"
boutique-de-cartes-sportives-l-as-de-coeur-caraquet,Boutique de cartes sportives L'as de coeur,Caraquet,NB,4.1 (76),Monday: 8:00 AM – 5:00 PM; Tuesday: 8:00 AM – 5:00 PM; Wednesday: 8:00 AM – 5:00 PM; Thursday: 8:00 AM – 5:00 PM; Friday: 8:00 AM – 5:00 PM; Saturday: 9:00 AM – 12:00 PM; Sunday: Closed,"410 W St Peter Blvd, Caraquet, NB E1W 1A3, Canada"
castle-vania-sports-cards-miramichi,Castle Vania Sports Cards,Miramichi,NB,4.7 (204),Monday: 11:00 AM – 6:00 PM; Tuesday: 11:00 AM – 6:00 PM; Wednesday: 11:00 AM – 6:00 PM; Thursday: 11:00 AM – 6:00 PM; Friday: 11:00 AM – 6:00 PM; Saturday: 10:00 AM – 4:00 PM; Sunday: Closed,"20555 US-19, Cranberry Township, PA 16066, USA"
pabi-s-collectibles-pabi-s-hobbies-collectibles-miramichi,Pabi's Collectibles (PABI's Hobbies & Collectibles),Miramichi,NB,4.4 (9),Monday: 10:00 AM – 4:00 PM; Tuesday: 10:00 AM – 4:00 PM; Wednesday: 10:00 AM – 4:00 PM; Thursday: 10:00 AM – 4:00 PM; Friday: 10:00 AM – 4:00 PM; Saturday: 10:00 AM – 4:00 PM; Sunday: Closed,"315 Pleasant St, Miramichi, NB E1V 1Z1, Canada"
moncton-sports-cards-moncton,Moncton Sports Cards,Moncton,NB,4.7 (125),Monday: 10:00 AM – 6:00 PM; Tuesday: 10:00 AM – 6:00 PM; Wednesday: 10:00 AM – 6:00 PM; Thursday: 10:00 AM – 6:00 PM; Friday: 10:00 AM – 8:00 PM; Saturday: 10:00 AM – 6:00 PM; Sunday: 12:00 – 5:00 PM,"34 Plaza Blvd, Moncton, NB E1C 0E8, Canada"
sell-your-pokemon-cards-barrie,Sell Your Pokemon Cards,Barrie,ON,,Monday: 9:00 AM – 6:00 PM; Tuesday: 9:00 AM – 6:00 PM; Wednesday: 9:00 AM – 6:00 PM; Thursday: 9:00 AM – 6:00 PM; Friday: 9:00 AM – 6:00 PM; Saturday: 9:00 AM – 6:00 PM; Sunday: 9:00 AM – 6:00 PM,"22024 RPO, Big Bay Point Rd, Barrie, ON L4N 0Z5, Canada"
stadium-sports-cards-blenheim-chatham-kent,Stadium Sports Cards,Blenheim (Chatham-Kent),ON,4.4 (23),Monday: Closed; Tuesday: 11:00 AM – 5:00 PM; Wednesday: 11:00 AM – 5:00 PM; Thursday: 11:00 AM – 5:00 PM; Friday: 11:00 AM – 5:00 PM; Saturday: 10:00 AM – 4:00 PM; Sunday: Closed,"1, 170 Talbot St W #1, Blenheim, ON N0P 1A0, Canada"
treasures-n-more-carleton-place,Treasures 'N' More,Carleton Place,ON,4.1 (64),Monday: Closed; Tuesday: 10:00 AM – 5:00 PM; Wednesday: 10:00 AM – 5:00 PM; Thursday: 10:00 AM – 9:00 PM; Friday: 10:00 AM – 6:00 PM; Saturday: 11:00 AM – 5:00 PM; Sunday: 11:00 AM – 3:00 PM,"133 Bridge St, Carleton Place, ON K7C 2V4, Canada"
onyx-cards-games-collingwood,Onyx Cards & Games,Collingwood,ON,4.8 (50),Monday: Closed; Tuesday: Closed; Wednesday: 12:00 – 6:00 PM; Thursday: 12:00 – 6:00 PM; Friday: 10:00 AM – 6:00 PM; Saturday: 10:00 AM – 6:00 PM; Sunday: 12:00 – 5:00 PM,"North, 864 Hurontario St Unit 8, Collingwood, ON L9Y 3Z1, Canada"
dave-s-sportscard-shop-cornwall,Dave's Sportscard Shop,Cornwall,ON,5 (53),Monday: Closed; Tuesday: Closed; Wednesday: 9:00 AM – 6:00 PM; Thursday: 9:00 AM – 6:00 PM; Friday: 9:00 AM – 6:00 PM; Saturday: 8:00 AM – 4:00 PM; Sunday: Closed,"around back, 812 Pitt St Unit 44, Cornwall, ON K6J 5R6, Canada"
webber-s-balloons-cards-and-collectibles-dundas,"Webber's Balloons, Cards and Collectibles",Dundas,ON,4.7 (49),Monday: Closed; Tuesday: 11:00 AM – 6:00 PM; Wednesday: 11:00 AM – 6:00 PM; Thursday: 11:00 AM – 6:00 PM; Friday: 11:00 AM – 6:00 PM; Saturday: 11:00 AM – 6:00 PM; Sunday: Closed,"1466 Main St E, Hamilton, ON L8K 1C6, Canada"
