slug,name,city,province,website,reviewCount,proposal,confidence,basis,specific_categories,http_status,card_evidence
art-noise-kingston,Art Noise,Kingston,ON,http://shop.artnoise.ca/,116,UNKNOWN,none,no website evidence (200) and name says nothing,,200,AMBIGUOUS
chumleighs-kingston,Chumleighs,Kingston,ON,http://www.chumleighs.com/,150,UNKNOWN,none,no website evidence (200) and name says nothing,,200,NO-CARD-EVIDENCE
mmlorcana-kingston,MMLorcana,Kingston,ON,https://mmlorcana.ca/,1,TCG-ONLY,medium,own site names only TCG: Lorcana: \blorcana\b,Lorcana,200,AMBIGUOUS
novel-idea-kingston,Novel Idea,Kingston,ON,http://novelideabooks.ca/wp/,300,UNKNOWN,none,no website evidence (200) and name says nothing,,200,AMBIGUOUS
the-rocking-horse-toys-kingston,The Rocking Horse Toys,Kingston,ON,http://www.therockinghorse.ca/,118,UNKNOWN,none,no website evidence (200) and name says nothing,,200,AMBIGUOUS
hi-times-head-shop-indoor-growing-equipment-indoor-grow-shop-hydroponics-london,Hi-Times (Head Shop + Indoor Growing Equipment +Indoor Grow Shop Hydroponics,London,ON,http://hitimes.ca/,269,UNKNOWN,none,no website evidence (200) and name says nothing,,200,NO-CARD-EVIDENCE
seven-sisters-ritual-apothecary-london,Seven Sisters Ritual Apothecary,London,ON,http://sevensisters.ca/,85,UNKNOWN,none,no website evidence (200) and name says nothing,,200,NO-CARD-EVIDENCE
warhammer-london,Warhammer,London,ON,https://www.warhammer.com/?utm_source=Google&utm_medium=Yext,129,UNKNOWN,none,no website evidence (202) and name says nothing,,202,NO-CARD-EVIDENCE
horizon-diecast-markham,Horizon Diecast,Markham,ON,https://horizondiecast.com/,195,UNKNOWN,none,no website evidence (200) and name says nothing,,200,NO-CARD-EVIDENCE
playdexk-markham,Playdexk,Markham,ON,https://playdexk.com/,282,UNKNOWN,none,no website evidence (200) and name says nothing,,200,CARDS-LIKELY
a-spec-cards-inc-milton,A-Spec Cards Inc.,Milton,ON,http://www.aspeccards.com/,57,UNKNOWN,low,name says cards/collectibles but not which kind; no usable website evidence,,http-402,UNREACHABLE
image-collections-mississauga,Image Collections,Mississauga,ON,http://www.imagecollections.ca/,188,TCG-ONLY,medium,own site names only TCG: Magic: magic:?\s*the\s*gathering,Magic,200,CARDS-LIKELY
g-a-m-e-s-oshawa,G A M E S,Oshawa,ON,http://www.facebook.com/GamesAreMySource,521,UNKNOWN,none,no website evidence (http-400) and name says nothing,,http-400,UNREACHABLE
the-entertainment-cube-oshawa,The Entertainment Cube,Oshawa,ON,http://www.facebook.com/cubeclown/,42,UNKNOWN,none,no website evidence (http-400) and name says nothing,,http-400,UNREACHABLE
xtreme-r-c-raceways-oshawa,Xtreme R/C & Raceways,Oshawa,ON,https://www.xtremerc.ca/,251,UNKNOWN,none,no website evidence (200) and name says nothing,,200,AMBIGUOUS
entertainment-ink-ottawa,Entertainment Ink!,Ottawa,ON,https://entertainmentink.ca/,118,UNKNOWN,none,no website evidence (200) and name says nothing,,200,AMBIGUOUS
imaginaire-store-ottawa-ottawa,Imaginaire Store Ottawa,Ottawa,ON,http://www.imaginaire.com/,604,UNKNOWN,none,no website evidence (http-403) and name says nothing,,http-403,UNREACHABLE
nostalgia-warehouse-ottawa,Nostalgia Warehouse,Ottawa,ON,https://www.facebook.com/nostalgiawarehouseottawa/,174,UNKNOWN,none,no website evidence (http-400) and name says nothing,,http-400,UNREACHABLE
studio-staja-ottawa,Studio Staja,Ottawa,ON,https://staja.ca/,51,TCG-ONLY,medium,own site names only TCG: Lorcana: \blorcana\b,Lorcana,200,AMBIGUOUS
hilltribe-ontario-sault-ste-marie,Hilltribe Ontario,Sault Ste. Marie,ON,http://www.hilltribeontario.com/?utm_source=gbp,150,UNKNOWN,none,no website evidence (200) and name says nothing,,200,AMBIGUOUS
mark-s-autographs-and-collectables-sault-ste-marie,Mark's Autographs and Collectables,Sault Ste. Marie,ON,http://stores.ebay.com/marksautographsandcollectables,17,SPORTS,high,own site: Baseball: \btopps\b; Hockey: \bupper\s*deck\b/\byoung\s*guns\b/\bo-?pee-?chee\b,Baseball|Hockey,200,CARDS-CONFIRMED
the-rad-zone-sault-ste-marie,The Rad Zone,Sault Ste. Marie,ON,http://www.theradzone.com/,221,UNKNOWN,none,no website evidence (200) and name says nothing,,200,AMBIGUOUS
the-trading-post-sault-ste-marie,The Trading Post,Sault Ste. Marie,ON,http://trading-post.ca/,357,UNKNOWN,none,no website evidence (200) and name says nothing,,200,NO-CARD-EVIDENCE
high-score-gamez-st-catharines,High Score Gamez,St. Catharines,ON,https://highscoregamez.crystalcommerce.com/,86,UNKNOWN,none,no website evidence (200) and name says nothing,,200,NO-CARD-EVIDENCE
cyber-city-comix-toronto,Cyber City Comix,Toronto,ON,http://cybercitycomix.com/,508,UNKNOWN,none,no website evidence (200) and name says nothing,,200,AMBIGUOUS
illusionary-toronto,Illusionary,Toronto,ON,http://www.illusionarycollectibles.com/,26,UNKNOWN,none,no website evidence (200) and name says nothing,,200,NO-CARD-EVIDENCE
toybox-trading-co-vaughan,Toybox Trading Co.,Vaughan,ON,http://toyboxtradingco.square.site/,30,UNKNOWN,none,no website evidence (200) and name says nothing,,200,NO-CARD-EVIDENCE
cartoon-kingdom-windsor,Cartoon Kingdom,Windsor,ON,http://www.cartoonkingdom.ca/,252,UNKNOWN,none,no website evidence (200) and name says nothing,,200,AMBIGUOUS
digital-oasis-windsor,Digital Oasis,Windsor,ON,http://www.digitaloasis.ca/,102,UNKNOWN,none,no website evidence (200) and name says nothing,,200,NO-CARD-EVIDENCE
