slug,name,city,month,directions,call,combined,orphan
face-to-face-games-toronto,Face to Face Games,Toronto,2026-08,1,0,1,False
hob-s-hobbies-strathmore,HOB's Hobbies,Strathmore,2026-09,1,0,1,False
personalized-sportcards-lethbridge,Personalized Sportcards,Lethbridge,2026-08,1,0,1,False
rockets-sports-cards-chatham-chatham-kent,Rockets Sports Cards,Chatham (Chatham-Kent),2026-08,1,0,1,False
carsncards-com-ottawa,carsncards.com,Ottawa,2026-09,1,0,1,False
