slug,name,city,province,address,website,rating,reviewCount
snap-collectables-airdrie,Snap! Collectables,Airdrie,AB,"224B Main St N, Airdrie, AB T4B 0R6",http://www.snapcollectables.com/,4.8,331
lakeland-sports-cards-bonnyville,Lakeland Sports Cards,Bonnyville,AB,"50 St, Bonnyville, AB T9N 2G3",https://lakelandsportscards.com/,5,2
andys-sports-cards-and-collectibles-calgary,Andys Sports Cards and Collectibles,Calgary,AB,"10093 Hidden Valley Dr NW, Calgary, AB T3A 5Z7",http://andyssportscards.ca/,4.8,172
olympic-sports-cards-and-games-calgary,Olympic Sports Cards and Games,Calgary,AB,"180 94 Ave SE, Calgary, AB T2J 3G8",http://www.olympicsportscardsandgames.com/,4.7,74
anime-hypercubed-camrose,Anime Hypercubed,Camrose,AB,"5019 46 St, Camrose, AB T4V 3G3",,4.5,13
camrosenextgen-gaming-camrose,CamroseNextGen Gaming,Camrose,AB,"5005 46 St, Camrose, AB T4V 3G3",https://sites.google.com/view/camrosenextgengaming/home,5,1
holler-collectibles-camrose,Holler Collectibles,Camrose,AB,"5016D 52a St, Camrose, AB T4V 1W8",https://holler-computer-services-and-collectibles.square.site/s/shop,,
retro-camrose,Retro,Camrose,AB,"5017 51 St, Camrose, AB T4V 1S6",https://play-here.ca/,4.6,287
the-data-base-camrose-camrose,The Data Base Camrose,Camrose,AB,"5005 46 St, Camrose, AB T4V 3G3",http://www.thedatabasecamrose.ca/,5,29
the-memorabilia-shop-chestermere,The Memorabilia Shop,Chestermere,AB,"210 Springmere Close, Chestermere, AB T1X 1K1",,,
arkane-angel-cold-lake,Arkane Angel,Cold Lake,AB,"5123 50 Ave, Cold Lake, AB T9M 2A6",https://www.arkane-angel.ca/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=3851568251012994274,4.3,23
cool-pool-cards-cold-lake,Cool Pool Cards,Cold Lake,AB,"5107 50 Ave, Cold Lake, AB T9M 1P4",,,
capital-city-cards-collectibles-edmonton,Capital City Cards & Collectibles,Edmonton,AB,"12011 111 Ave NW, Edmonton, AB T5G 0E7",https://www.instagram.com/capitalcitycardsyeg/?hl=en,5,14
dave-s-card-shop-edmonton,Dave's Card Shop,Edmonton,AB,"15734 100 Ave NW, Edmonton, AB T5P 0L1",http://davescardshop.ca/,5,22
prisma-games-edmonton,Prisma Games,Edmonton,AB,"9919 48 Ave NW, Edmonton, AB T6E 5H5",http://www.prismatcg.com/,4.5,143
jesse-johnston-edson-buy-sell-and-trade-edson,"Jesse Johnston · Edson Buy, Sell and Trade",Edson,AB,"605 50 St, Edson, AB T7E 1N7",,,
all-in-sports-den-fort-mcmurray,All In Sports Den,Fort McMurray,AB,"8324 Franklin Ave, Fort McMurray, AB T9H 4Y9",,4.3,16
tactical-magic-games-inc-fort-mcmurray,Tactical Magic Games Inc,Fort McMurray,AB,"213 Timberline Dr #2, Fort McMurray, AB T9K 1S1",https://facebook.com/tacticalmagicgames,4.8,93
strange-ideas-comics-and-collectibles-grande-prairie,Strange Ideas Comics and Collectibles,Grande Prairie,AB,"11601 99 St, Grande Prairie, AB T8V 6Z1",https://www.strangeideascomics.ca/,4.5,192
toyz-game-emporium-inc-grande-prairie,Toyz Game Emporium Inc,Grande Prairie,AB,"11012 100 St #107, Grande Prairie, AB T8V 2N1",https://www.facebook.com/toyzgame/,4.5,263
wonderland-games-grande-prairie,Wonderland Games,Grande Prairie,AB,"10032 100 Ave., Grande Prairie, AB T8V 0V3",,4.7,296
bingham-s-sports-cards-lethbridge,Bingham's Sports Cards,Lethbridge,AB,"CENTRE VILLAGE MALL, 1240 2A Ave N, Lethbridge, AB T1H 0E4",,3.1,8
king-arthur-s-collectibles-lethbridge,King Arthur's Collectibles,Lethbridge,AB,"304 13 St N, Lethbridge, AB T1H 2R8",https://www.ebay.ca/str/kingarthurscollectiblescanada?mkcid=16&mkevt=1&mkrid=711-127632-2357-0&ssspo=aZbMmwG3Tr6&sssrc=3418065&ssuid=aZbMmwG3Tr6&widget_ver=artemis&media=COPY,5,2
personalized-sportcards-lethbridge,Personalized Sportcards,Lethbridge,AB,"2938 12 Ave N, Lethbridge, AB T1H 5J9",http://personalizedsportcards.com/,,
pirates-cove-collectibles-ltd-lethbridge,Pirates Cove Collectibles Ltd,Lethbridge,AB,"1253 2 Avenue a N, Lethbridge, AB T1H 0E9",https://www.facebook.com/profile.php?id=100054447371205,4.2,99
the-vault-sports-cards-and-collectables-lethbridge,The Vault Sports Cards and Collectables,Lethbridge,AB,"330 7 St S, Lethbridge, AB T1J 0N6",,5,54
babs-gaming-and-sports-cards-inc-lloydminster,Babs Gaming And Sports Cards Inc,Lloydminster,AB,"5720 44 St, Lloydminster, AB T9V 0B3",http://www.babsgaming.ca/,4.7,46
comic-readers-medicine-hat,Comic Readers,Medicine Hat,AB,"924 S Railway St, Medicine Hat, AB T1A 3G4",https://comicreadersregina.wordpress.com/,4.6,261
the-cardboard-casket-medicine-hat,The Cardboard Casket,Medicine Hat,AB,"1201 Kingsway Ave SE #201, Medicine Hat, AB T1A 2Y2",http://www.facebook.com/groups/thecardboardcasket,4.2,31
collectible-card-caddy-okotoks,Collectible Card Caddy,Okotoks,AB,"900 Village Ln 330, 14, Okotoks, AB T1S 1M2",http://collectiblecardcaddy.com/,,
tailgate-mercantile-co-okotoks,Tailgate Mercantile Co.,Okotoks,AB,"21 Elizabeth St Unit 2, Okotoks, AB",,4.2,26
bill-sr-s-sports-cards-red-deer,Bill Sr's Sports Cards,Red Deer,AB,"4781 49 St, Red Deer, AB T4N 1T6",,4.1,19
djs-sportscards-comics-collectibles-red-deer,"DJS Sportscards, Comics & Collectibles",Red Deer,AB,"5560 45 St Unit E13, Red Deer, AB T4N 1L1",,4.5,91
holmestead-sports-cards-collectibles-red-deer,Holmestead Sports Cards & Collectibles,Red Deer,AB,"6200 67a St, Red Deer, AB T4P 3E8",https://www.facebook.com/HOLMESTEADSCC,4.5,33
wizard-s-loft-red-deer,Wizard's Loft,Red Deer,AB,"5201 54 Ave Unit 110, Red Deer, AB T4N 5K5",,4.8,428
georges-ii-sherwood-park,Georges II,Sherwood Park,AB,"52 Brentwood Blvd, Sherwood Park, AB T8A 2H6",,4.7,94
paradise-games-and-customs-spruce-grove,Paradise Games and Customs,Spruce Grove,AB,"4 Spruce Ridge Dr #40, Spruce Grove, AB T7X 4S3",http://paradisegames.ca/,4.6,28
stettler-game-corner-stettler,Stettler Game Corner,Stettler,AB,"4940 50 St, Stettler, AB T0C 2L2",,5,5
hockey-central-sports-memorabilia-inc-sylvan-lake,Hockey Central Sports Memorabilia Inc,Sylvan Lake,AB,"3715 47 Ave Unit 330, Sylvan Lake, AB T4S 0C8",,4.1,269
al-s-sports-quest-whitecourt,Al's Sports Quest,Whitecourt,AB,"4164 Kepler St, Whitecourt, AB T7S 0A3",,,
video-time-barrie,Video Time,Barrie,ON,"157 Bayfield St, Barrie, ON L4M 3B4",http://www.videotime.ca/,3.7,164
rolls-and-realms-inc-brantford,Rolls and Realms Inc.,Brantford,ON,"207 Colborne St W #1, Brantford, ON N3T 1L6",https://www.rollsandrealms.ca/,5,1
hall-of-fame-collection-burlington,Hall Of Fame Collection,Burlington,ON,"1220 Corporate Dr, Burlington, ON L7L 5R7",http://racinghalloffamecollection.com/,5,15
nepal-handicrafts-greater-sudbury,Nepal Handicrafts,Greater Sudbury,ON,"Unit 159, Elm Place, Downtown Mall, 40 Elm St, Greater Sudbury, ON P3C 1S8",http://www.nepalhandicraftsontario.com/,4.8,33
retro-relics-greater-sudbury,Retro Relics,Greater Sudbury,ON,"4764 Regional Rd 15, Chelmsford, ON P0M 1L0",https://www.facebook.com/profile.php?id=61550925574309&mibextid=9R9pXO,4.7,41
valixya-greater-sudbury,Valixya,Greater Sudbury,ON,"1861 Lasalle Blvd, Greater Sudbury, ON P3A 2A3",https://valixya.ca/,4.9,29
royal-cat-records-guelph,Royal Cat Records,Guelph,ON,"21 Macdonell St, Guelph, ON N1H 2Z3",http://royalcatrecords.blogspot.ca/,4.6,230
scahub-marketplace-guelph,SCAHub Marketplace,Guelph,ON,"585 Hanlon Creek Boulevard Unit 24, Guelph, ON N1C 0A1",https://scahub.ca/,,
the-beat-goes-on-guelph,The Beat Goes On,Guelph,ON,"23 Wellington St E, Guelph, ON N1H 3R7",http://www.beatgoeson.com/,4.5,344
the-bookshelf-guelph,The Bookshelf,Guelph,ON,"41 Quebec St, Guelph, ON N1H 2T1",https://bookshelf.ca/,4.7,767
digital-grade-submissions-hamilton,Digital Grade Submissions,Hamilton,ON,"1063 King St W #263, Hamilton, ON L8S 4S3",http://www.digitalgrade.io/,5,15
heroes-n-legends-hamilton,Heroes N' Legends,Hamilton,ON,"100 King St W, Hamilton, ON L8P 1A2",https://m.facebook.com/HNLJackson/,4.4,48
tistaminis-hamilton,Tistaminis,Hamilton,ON,"162 Parkdale Ave N, Hamilton, ON L8H 5X2",http://tistaminis.com/,4.9,977
art-noise-kingston,Art Noise,Kingston,ON,"290 Princess St, Kingston, ON K7L 1B5",http://shop.artnoise.ca/,4.4,116
chumleighs-kingston,Chumleighs,Kingston,ON,"699 Gardiners Rd, Kingston, ON K7M 3Y4",http://www.chumleighs.com/,4.2,150
mmlorcana-kingston,MMLorcana,Kingston,ON,"19 Macpherson Ave #11, Kingston, ON K7M 6W4",https://mmlorcana.ca/,5,1
novel-idea-kingston,Novel Idea,Kingston,ON,"156 Princess St Ste 201, Kingston, ON K7L 0B6",http://novelideabooks.ca/wp/,4.8,300
the-rocking-horse-toys-kingston,The Rocking Horse Toys,Kingston,ON,"193 Princess St, Kingston, ON K7L 1B1",http://www.therockinghorse.ca/,4.7,118
hi-times-head-shop-indoor-growing-equipment-indoor-grow-shop-hydroponics-london,Hi-Times (Head Shop + Indoor Growing Equipment +Indoor Grow Shop Hydroponics,London,ON,"360 Richmond St, London, ON N6A 3C7",http://hitimes.ca/,4.3,269
seven-sisters-ritual-apothecary-london,Seven Sisters Ritual Apothecary,London,ON,"129 Dundas St, London, ON N6A 1E8",http://sevensisters.ca/,4.9,85
warhammer-london,Warhammer,London,ON,"White Oaks Mall, 1105 Wellington Rd Unit 411, London, ON N6E 1V4",https://www.warhammer.com/?utm_source=Google&utm_medium=Yext,4.6,129
horizon-diecast-markham,Horizon Diecast,Markham,ON,"280 Yorktech Dr Unit 27, Markham, ON L6G 0A6, Canada",https://horizondiecast.com/,4.9,195
playdexk-markham,Playdexk,Markham,ON,"180 Enterprise Blvd 2/F K202, Markham, ON L6G 0E6",https://playdexk.com/,5,282
a-spec-cards-inc-milton,A-Spec Cards Inc.,Milton,ON,"1224 Main St E, Milton, ON L9T 9K7",http://www.aspeccards.com/,4.9,57
image-collections-mississauga,Image Collections,Mississauga,ON,"181 Queen St S, Mississauga, ON L5M 1L1",http://www.imagecollections.ca/,4.5,188
g-a-m-e-s-oshawa,G A M E S,Oshawa,ON,"1180 Simcoe St N, Oshawa, ON L1G 4W8",http://www.facebook.com/GamesAreMySource,4.3,521
the-entertainment-cube-oshawa,The Entertainment Cube,Oshawa,ON,"5 Bond St W, Oshawa, ON L1G 1A1",http://www.facebook.com/cubeclown/,4.8,42
xtreme-r-c-raceways-oshawa,Xtreme R/C & Raceways,Oshawa,ON,"57 Simcoe St S, Oshawa, ON L1H 4G4, Canada",https://www.xtremerc.ca/,4.7,251
entertainment-ink-ottawa,Entertainment Ink!,Ottawa,ON,"110 Place d'Orléans Dr, Orléans, ON K1E 0B6",https://entertainmentink.ca/,4.3,118
imaginaire-store-ottawa-ottawa,Imaginaire Store Ottawa,Ottawa,ON,"50 Rideau St Level 3, Ottawa, ON K1N 9J7",http://www.imaginaire.com/,4.5,604
nostalgia-warehouse-ottawa,Nostalgia Warehouse,Ottawa,ON,"233-C Armstrong St, Ottawa, ON K1Y 1B4",https://www.facebook.com/nostalgiawarehouseottawa/,4.7,174
studio-staja-ottawa,Studio Staja,Ottawa,ON,"507 Rideau St, Ottawa, ON K1N 5Z5",https://staja.ca/,4.9,51
hilltribe-ontario-sault-ste-marie,Hilltribe Ontario,Sault Ste. Marie,ON,"Station Mall, 293 Bay St L9, Sault Ste. Marie, ON P6A 1X3",http://www.hilltribeontario.com/?utm_source=gbp,4.8,150
mark-s-autographs-and-collectables-sault-ste-marie,Mark's Autographs and Collectables,Sault Ste. Marie,ON,"275 Second Line W Unit 190, Sault Ste. Marie, ON P6C 2J4",http://stores.ebay.com/marksautographsandcollectables,3.9,17
the-rad-zone-sault-ste-marie,The Rad Zone,Sault Ste. Marie,ON,"721 Queen St E, Sault Ste. Marie, ON P6A 2A8",http://www.theradzone.com/,4.8,221
the-trading-post-sault-ste-marie,The Trading Post,Sault Ste. Marie,ON,"1332 Great Northern Rd, Sault Ste. Marie, ON P6A 5K7",http://trading-post.ca/,4.5,357
high-score-gamez-st-catharines,High Score Gamez,St. Catharines,ON,"40 Hartzel Rear, St. Catharines, ON L2P 1M5",https://highscoregamez.crystalcommerce.com/,4.9,86
cyber-city-comix-toronto,Cyber City Comix,Toronto,ON,"1025 Steeles Ave W, North York, ON M2R 2S9",http://cybercitycomix.com/,4.8,508
illusionary-toronto,Illusionary,Toronto,ON,"1106 College St, Toronto, ON M6H 1B3",http://www.illusionarycollectibles.com/,4.9,26
toybox-trading-co-vaughan,Toybox Trading Co.,Vaughan,ON,"120 Woodstream Blvd #18B, Woodbridge, ON L4L 7Z1",http://toyboxtradingco.square.site/,5,30
cartoon-kingdom-windsor,Cartoon Kingdom,Windsor,ON,"3160 Dougall Ave, Windsor, ON N9E 1S6",http://www.cartoonkingdom.ca/,4.5,252
digital-oasis-windsor,Digital Oasis,Windsor,ON,"5400 Tecumseh Rd E Unit 9, Windsor, ON N8T 1C7",http://www.digitaloasis.ca/,4.6,102
