slug,Show Name,City,Province,Venue,Address,StartDate,EndDate,Hours,Admission,Website,SourceUrl,Recurring
monthly-card-show-leduc-2026-08-29,The Hobby Spot Monthly Card Show,Leduc,AB,The Hobby Spot,#4 6201 50 St,2026-08-29,,10:00 AM - 4:00 PM,,https://thehobbyspot.ca/rent-a-table/,https://www.tcdb.com/CardShows.cfm?MODE=VIEW&ID=28958,
monthly-card-show-leduc-2026-09-26,The Hobby Spot Monthly Card Show,Leduc,AB,The Hobby Spot,#4 6201 50 St,2026-09-26,,10:00 AM - 4:00 PM,,https://thehobbyspot.ca/rent-a-table/,https://www.tcdb.com/CardShows.cfm?MODE=VIEW&ID=28959,
monthly-sports-card-comic-book-show-ottawa-2026-09-13,Capital Trade Shows: Card & Comic Show,Ottawa,ON,Nepean Sportsplex CURLING RINK,1701 Woodroffe Ave. S,2026-09-13,,10:00 AM - 3:00 PM,,https://www.capitaltradeshows.ca/schedule,https://www.tcdb.com/CardShows.cfm?MODE=VIEW&ID=16940,
