slug,name,city,province,website,address
sell-your-pokemon-cards-barrie,Sell Your Pokemon Cards,Barrie,ON,https://ca.sellccg.com/location/,"22024 RPO, Big Bay Point Rd, Barrie, ON L4N 0Z5"
video-time-barrie,Video Time,Barrie,ON,http://www.videotime.ca/,"157 Bayfield St, Barrie, ON L4M 3B4"
stephen-licence-bicycles-hobbies-belleville,Stephen Licence Bicycles & Hobbies,Belleville,ON,https://stephenlicence.my.canva.site/stephenlicence/,"288 Front St, Belleville, ON K8N 2Z8, Canada"
mint-sports-cards-collectibles-bolton,Mint Sports Cards & Collectibles,Bolton,ON,http://www.mintsportscardsandcollectibles.com/,"18 King St E D7, Bolton, ON L7E 1E8"
fearocards-brampton,FeARoCards,Brampton,ON,https://fearocards.ca/,"Meltwater Cres, Brampton, ON L6P 3W6"
rolls-and-realms-inc-brantford,Rolls and Realms Inc.,Brantford,ON,https://www.rollsandrealms.ca/,"207 Colborne St W #1, Brantford, ON N3T 1L6"
hall-of-fame-collection-burlington,Hall Of Fame Collection,Burlington,ON,http://racinghalloffamecollection.com/,"1220 Corporate Dr, Burlington, ON L7L 5R7"
bfireballdragon-greater-sudbury,BFireBallDragon,Greater Sudbury,ON,http://bfireballdragon.com/,"1490 Main St, Val Caron, ON P3N 1P8"
comics-north-greater-sudbury,Comics North,Greater Sudbury,ON,https://www.facebook.com/comicsnorthhiddenlevelgames/,"106 Elm St, Greater Sudbury, ON P3C 1T5"
diadem-cards-hobbies-greater-sudbury,Diadem Cards & Hobbies,Greater Sudbury,ON,https://231405-3.myshopify.com/,"166 Douglas St W, Greater Sudbury, ON P3E 1G1"
docs-hobby-shop-greater-sudbury,Docs hobby shop,Greater Sudbury,ON,https://docs-hobby-shop.myshopify.com/,"92 Kitchener Ave, Greater Sudbury, ON P3B 2Y8, Canada"
great-canadian-games-hobbies-greater-sudbury,Great Canadian Games & Hobbies,Greater Sudbury,ON,https://www.facebook.com/GreatCanadianGames/,"1410 Lasalle Blvd, Greater Sudbury, ON P3A 1Z6"
great-white-north-pottery-supplies-greater-sudbury,Great White North Pottery Supplies,Greater Sudbury,ON,http://www.gwnpottery.ca/,"1305 Kelly Lake Rd Unit 3, Greater Sudbury, ON P3E 5P5"
nepal-handicrafts-greater-sudbury,Nepal Handicrafts,Greater Sudbury,ON,http://www.nepalhandicraftsontario.com/,"Unit 159, Elm Place, Downtown Mall, 40 Elm St, Greater Sudbury, ON P3C 1S8"
retro-relics-greater-sudbury,Retro Relics,Greater Sudbury,ON,https://www.facebook.com/profile.php?id=61550925574309&mibextid=9R9pXO,"4764 Regional Rd 15, Chelmsford, ON P0M 1L0"
slab-labs-tcg-greater-sudbury,Slab Labs TCG,Greater Sudbury,ON,http://slablabstcg.com/,"4665 Notre Dame Ave, Hanmer, ON P3P 1X5"
valixya-greater-sudbury,Valixya,Greater Sudbury,ON,https://valixya.ca/,"1861 Lasalle Blvd, Greater Sudbury, ON P3A 2A3"
brodie-s-gaming-guelph,Brodie's Gaming,Guelph,ON,http://brodiesgaming.ca/,"304 Stone Rd W #10, Guelph, ON N1G 3C4"
