slug,Services,Sports/TCG
emmett-s-toystop-hobby-shop-toronto,Sells;Buys;Sells Wax,Baseball;Basketball;Hockey;Pokemon
empire-trading-tcg-ottawa,Buys;Sells;Sells Wax;Trade Nights,Pokemon;Magic;Other
entertainment-ink-ottawa,Sells,
env-collectible-sherwood-park,Sells;Buys,Basketball;Magic;Pokemon
esper-cards-games-toronto,Sells;Sells Wax;Trade Nights,Magic;Pokemon
evolution-sports-excellence-leduc,Sells,Baseball;Hockey
f-g-bradley-s-oshawa,Sells,Hockey
face-to-face-games-toronto,Sells;Buys;Sells Wax;Trade Nights,Magic;Pokemon
fan-of-the-sport-st-thomas,Sells;Buys,Baseball;Basketball;Football;Magic;Pokemon
fearocards-brampton,Sells;Sells Wax,Pokemon
fine-toys-store-markham,Sells;Sells Wax,Pokemon;Magic;Other
five-dragons-hobbies-markham,Sells,
flaring-lair-richmond-hill,Sells;Buys;Grading Services;Sells Wax,Magic;Pokemon
fly-by-nite-movies-games-and-toys-oshawa,Sells,
forest-city-coins-stamps-london,Sells;Buys;Sells Wax,Baseball;Hockey;Magic;Pokemon
froggers-house-of-cards-and-autograph-gallery-edmonton,Sells;Buys;Trade Nights,Baseball;Basketball;Football;Hockey;Magic;Pokemon
galactic-trading-post-fort-mcmurray,Sells;Trade Nights,Hockey;Magic;Pokemon
game-breakers-sports-cards-ottawa,Sells;Sells Wax;Trade Nights,Hockey;Baseball;Basketball;Football;Pokemon;Magic;Other
game-cycle-hamilton-road-london,Sells,
game-cycle-london-wharncliffe-london,Sells,
game-knight-leagues-london,Sells;Sells Wax,Football;Magic
game-shack-toronto,Sells;Sells Wax;Trade Nights,Football;Magic;Pokemon
game-time-collectibles-mississauga,Sells,Pokemon;Magic;Other
gamecycle-windsor,Sells;Trades Singles,Football;Pokemon
gamer-s-lair-ltd-barrie,Sells;Buys;Sells Wax,Magic;Pokemon
gamers-emporium-london,Sells;Sells Wax,Football;Magic;Pokemon
games-galore-the-billiard-store-medicine-hat,Sells,Hockey
george-s-trains-markham,Sells;Trades Singles,
gnu-books-oshawa,Sells;Sells Wax;Trade Nights,Hockey;Baseball;Pokemon;Magic
go-for-game-toronto,Sells;Sells Wax;Trade Nights,Magic;Pokemon
gotham-central-comics-mississauga,Sells,Pokemon;Magic;Other
gp-sports-cards-toronto,Sells;Buys,
great-hobbies-oshawa,Sells,
great-white-north-pottery-supplies-greater-sudbury,Sells,Basketball
hairy-tarantula-toronto,Sells;Buys;Sells Wax,Magic;Pokemon
hall-of-fame-collection-burlington,Sells;Buys,
hallmark-cards-gifts-sault-ste-marie,Sells,
hallmark-oshawa,Sells,
heaven-s-collectibles-tcg-london,Sells;Grading Services;Sells Wax,Pokemon
helou-s-sports-cards-and-collectibles-windsor,Sells;Sells Wax,Baseball;Basketball;Football;Hockey;Pokemon
heroes-comics-london,Sells,Magic
hi-times-head-shop-indoor-growing-equipment-indoor-grow-shop-hydroponics-london,Sells,
high-score-gamez-st-catharines,Sells,
hilltribe-ontario-sault-ste-marie,Sells,
hobbiesville-ottawa,Buys;Sells;Sells Wax;Breaks,Hockey;Baseball;Basketball;Football;Pokemon;Magic;Other
hobbiesville-ottawa-ottawa,Buys;Sells;Sells Wax;Breaks,Hockey;Baseball;Basketball;Football;Pokemon;Magic;Other
hobbiesville-toronto-toronto,Sells;Buys;Sells Wax;Breaks,Baseball;Basketball;Football;Hockey;Magic;Pokemon
hobby-stop-tcg-collectibles-toronto,Sells;Sells Wax,Pokemon
holler-collectibles-camrose,Sells,
hope-club-collectibles-sports-cards-and-trading-card-games-toronto,Sells;Sells Wax;Trade Nights,Magic;Pokemon
horizon-diecast-markham,Sells,
hyperspace-comics-games-spruce-grove,Sells,Magic;Pokemon
icons-and-heroes-edmonton,Sells,Baseball;Basketball;Football;Hockey;Magic;Pokemon
ideal-hobbies-barrie,Sells,
illusionary-toronto,Sells,
image-collections-mississauga,Sells,
improbable-escapes-board-game-lounge-kingston,Sells;Trade Nights,Magic;Pokemon
k-os-collectibles-inc-markham,Sells;Sells Wax,Pokemon;Magic;Other
kadoone-markham,Sells;Sells Wax,Pokemon;Magic;Other
kanto-kreations-sault-ste-marie,Sells;Buys;Grading Services,Football;Pokemon
kanzen-games-sports-collectibles-mississauga,Sells;Sells Wax,Pokemon;Magic;Other
king-arthur-s-collectibles-lethbridge,Sells,
kingston-card-den-kingston,Sells;Buys,Hockey;Pokemon
kingston-gaming-nexus-kingston,Sells;Trade Nights,Magic;Pokemon
korekuta-games-vaughan,Sells;Breaks,Pokemon
kunaigames-windsor,Sells;Buys;Trade Nights,Magic;Pokemon
l-a-mood-comics-games-london,Sells;Buys,Hockey;Magic;Pokemon
legendary-collectables-mississauga,Sells;Sells Wax;Grading Services,Hockey;Baseball;Basketball;Football;Pokemon;Magic;Other
legends-warehouse-vaughan,Sells;Sells Wax;Trade Nights,Magic;Pokemon
level-up-games-canada-vaughan,Sells;Buys;Sells Wax,Magic;Pokemon
local-comic-shop-windsor,Sells,
loot-kingdom-barrie,Sells;Grading Services;Sells Wax;Trade Nights,Baseball;Basketball;Football;Hockey;Pokemon
lvlup-games-mississauga,Sells,Pokemon;Magic;Other
m4-sports-cards-and-collectibles-hamilton,Sells,
mancala-monk-board-game-cafe-hamilton-hamilton,Sells;Trade Nights,Magic
manta-trading-markham,Sells;Sells Wax,Pokemon;Other
maple-leaf-sports-calgary,Sells;Sells Wax;Breaks,Baseball;Basketball;Football;Hockey;Magic;Pokemon
mark-s-autographs-and-collectables-sault-ste-marie,Sells,
masterset-co-markham,Sells;Sells Wax;Grading Services;Trade Nights,Pokemon;Other
meeplemart-toronto,Sells,Pokemon
microplay-video-games-collectibles-guelph,Sells;Buys;Trades Singles,Basketball;Football;Magic;Pokemon
minotaur-games-and-gifts-kingston,Sells;Trade Nights,
mint-sports-cards-collectibles-bolton,Sells;Sells Wax,Baseball;Basketball;Football;Hockey;Pokemon
minty-fresh-collectibles-ottawa,Sells,Hockey;Baseball;Basketball;Football;Pokemon;Magic;Other
mission-fun-games-st-albert,Sells;Sells Wax;Trade Nights,Basketball;Football;Magic;Pokemon
mmlorcana-kingston,Sells;Buys,
morrison-trading-post-airdrie,Sells;Buys;Grading Services;Sells Wax;Breaks;Trade Nights,Baseball;Basketball;Football;Hockey;Pokemon
much-hobby-online-shopping-markham,Sells;Sells Wax,
mypops-ca-erin-mills-town-centre-mississauga-toys-funko-tcg-mississauga,Sells;Buys,Pokemon;Other
mypops-ca-hamilton-toys-funko-tcg-hamilton,Sells;Buys;Trades Singles;Sells Wax,Football;Magic;Pokemon
mypops-ca-markham-toys-funko-tcg-markham,Sells;Buys,Pokemon;Other
nabema-collectibles-ottawa,Buys;Sells;Trades Singles;Sells Wax;Trade Nights,Basketball;Pokemon;Magic;Other
nak-gaming-online-order-pickup-only-mississauga,Sells;Sells Wax,Pokemon
nd-sports-cards-ltd-psa-authorized-platinum-dealer-vaughan,Sells;Grading Services,Pokemon
nefarious-comics-ottawa,Sells,Magic
neo-tokyo-the-anime-store-london,Sells,Basketball;Pokemon
nepal-handicrafts-greater-sudbury,Sells,
nerdvana-cards-games-markham,Sells;Sells Wax;Trade Nights,Pokemon;Magic;Other
never-board-games-lounge-hamilton,Sells,
new-rave-tcg-hobbies-oshawa,Sells,
new-realm-games-vaughan,Sells;Buys;Sells Wax;Trade Nights,Baseball;Magic;Pokemon
nexpack-collectibles-trading-card-shop-markham,Sells;Sells Wax,Hockey;Basketball;Football;Pokemon;Magic;Other
northern-war-table-vaughan,Sells;Buys;Trade Nights,Magic;Pokemon
not-a-hobby-shop-goose-guzzu-mart-markham,Sells,
novel-idea-kingston,Sells,
olympic-sports-cards-and-games-calgary,Sells,
omg-games-barrie,Sells;Buys;Grading Services;Sells Wax;Trade Nights,Football;Magic;Pokemon
out-of-the-box-ottawa,Sells;Grading Services;Sells Wax;Breaks,Baseball;Basketball;Football;Hockey;Magic;Pokemon
over-the-top-gaming-oshawa,Sells,
overtime-sports-cards-grading-balzac,Sells;Grading Services;Sells Wax,Baseball;Basketball;Football;Hockey;Magic;Pokemon
panda-hobby-canada-s-largest-gundam-store-markham,Sells;Trades Singles,Pokemon
paradise-games-and-customs-spruce-grove,Sells,
paradoxtcg-hamilton,Sells,
playdexk-markham,Sells,
players-cards-and-collectibles-london,Sells;Sells Wax;Trade Nights,Baseball;Basketball;Football;Hockey;Magic;Pokemon
pokanada-sealed-pokemon-section-inside-pharmacy-london,Sells,
