slug,name,city,province,address,website,rating,reviewCount,status,verdict,proposed_categories,evidence,generic_sports_hits,name_suggests_sports
tistaminis-hamilton,Tistaminis,Hamilton,ON,"162 Parkdale Ave N, Hamilton, ON L8H 5X2",http://tistaminis.com/,4.9,977,200,NO-CATEGORY-EVIDENCE,,,,
art-noise-kingston,Art Noise,Kingston,ON,"290 Princess St, Kingston, ON K7L 1B5",http://shop.artnoise.ca/,4.4,116,200,NO-CATEGORY-EVIDENCE,,,,
chumleighs-kingston,Chumleighs,Kingston,ON,"699 Gardiners Rd, Kingston, ON K7M 3Y4",http://www.chumleighs.com/,4.2,150,200,NO-CATEGORY-EVIDENCE,,,,
mmlorcana-kingston,MMLorcana,Kingston,ON,"19 Macpherson Ave #11, Kingston, ON K7M 6W4",https://mmlorcana.ca/,5,1,200,TCG-ONLY,Lorcana,Lorcana: \blorcana\b,,
novel-idea-kingston,Novel Idea,Kingston,ON,"156 Princess St Ste 201, Kingston, ON K7L 0B6",http://novelideabooks.ca/wp/,4.8,300,200,NO-CATEGORY-EVIDENCE,,,,
the-rocking-horse-toys-kingston,The Rocking Horse Toys,Kingston,ON,"193 Princess St, Kingston, ON K7L 1B1",http://www.therockinghorse.ca/,4.7,118,200,NO-CATEGORY-EVIDENCE,,,,
hi-times-head-shop-indoor-growing-equipment-indoor-grow-shop-hydroponics-london,Hi-Times (Head Shop + Indoor Growing Equipment +Indoor Grow Shop Hydroponics,London,ON,"360 Richmond St, London, ON N6A 3C7",http://hitimes.ca/,4.3,269,200,NO-CATEGORY-EVIDENCE,,,,
seven-sisters-ritual-apothecary-london,Seven Sisters Ritual Apothecary,London,ON,"129 Dundas St, London, ON N6A 1E8",http://sevensisters.ca/,4.9,85,200,NO-CATEGORY-EVIDENCE,,,,
warhammer-london,Warhammer,London,ON,"White Oaks Mall, 1105 Wellington Rd Unit 411, London, ON N6E 1V4",https://www.warhammer.com/?utm_source=Google&utm_medium=Yext,4.6,129,202,NO-CATEGORY-EVIDENCE,,,,
horizon-diecast-markham,Horizon Diecast,Markham,ON,"280 Yorktech Dr Unit 27, Markham, ON L6G 0A6, Canada",https://horizondiecast.com/,4.9,195,200,NO-CATEGORY-EVIDENCE,,,,
playdexk-markham,Playdexk,Markham,ON,"180 Enterprise Blvd 2/F K202, Markham, ON L6G 0E6",https://playdexk.com/,5,282,200,NO-CATEGORY-EVIDENCE,,,,
a-spec-cards-inc-milton,A-Spec Cards Inc.,Milton,ON,"1224 Main St E, Milton, ON L9T 9K7",http://www.aspeccards.com/,4.9,57,http-402,UNREACHABLE,,,,
image-collections-mississauga,Image Collections,Mississauga,ON,"181 Queen St S, Mississauga, ON L5M 1L1",http://www.imagecollections.ca/,4.5,188,200,TCG-ONLY,Magic,Magic: magic:?\s*the\s*gathering,,
g-a-m-e-s-oshawa,G A M E S,Oshawa,ON,"1180 Simcoe St N, Oshawa, ON L1G 4W8",http://www.facebook.com/GamesAreMySource,4.3,521,http-400,UNREACHABLE,,,,
the-entertainment-cube-oshawa,The Entertainment Cube,Oshawa,ON,"5 Bond St W, Oshawa, ON L1G 1A1",http://www.facebook.com/cubeclown/,4.8,42,http-400,UNREACHABLE,,,,
xtreme-r-c-raceways-oshawa,Xtreme R/C & Raceways,Oshawa,ON,"57 Simcoe St S, Oshawa, ON L1H 4G4, Canada",https://www.xtremerc.ca/,4.7,251,200,NO-CATEGORY-EVIDENCE,,,,
entertainment-ink-ottawa,Entertainment Ink!,Ottawa,ON,"110 Place d'Orléans Dr, Orléans, ON K1E 0B6",https://entertainmentink.ca/,4.3,118,200,NO-CATEGORY-EVIDENCE,,,,
imaginaire-store-ottawa-ottawa,Imaginaire Store Ottawa,Ottawa,ON,"50 Rideau St Level 3, Ottawa, ON K1N 9J7",http://www.imaginaire.com/,4.5,604,http-403,UNREACHABLE,,,,
nostalgia-warehouse-ottawa,Nostalgia Warehouse,Ottawa,ON,"233-C Armstrong St, Ottawa, ON K1Y 1B4",https://www.facebook.com/nostalgiawarehouseottawa/,4.7,174,http-400,UNREACHABLE,,,,
studio-staja-ottawa,Studio Staja,Ottawa,ON,"507 Rideau St, Ottawa, ON K1N 5Z5",https://staja.ca/,4.9,51,200,TCG-ONLY,Lorcana,Lorcana: \blorcana\b,,
hilltribe-ontario-sault-ste-marie,Hilltribe Ontario,Sault Ste. Marie,ON,"Station Mall, 293 Bay St L9, Sault Ste. Marie, ON P6A 1X3",http://www.hilltribeontario.com/?utm_source=gbp,4.8,150,200,NO-CATEGORY-EVIDENCE,,,,
mark-s-autographs-and-collectables-sault-ste-marie,Mark's Autographs and Collectables,Sault Ste. Marie,ON,"275 Second Line W Unit 190, Sault Ste. Marie, ON P6C 2J4",http://stores.ebay.com/marksautographsandcollectables,3.9,17,200,SPORTS,Baseball|Hockey,Baseball: \btopps\b; Hockey: \bupper\s*deck\b/\byoung\s*guns\b/\bo-?pee-?chee\b,,
the-rad-zone-sault-ste-marie,The Rad Zone,Sault Ste. Marie,ON,"721 Queen St E, Sault Ste. Marie, ON P6A 2A8",http://www.theradzone.com/,4.8,221,200,NO-CATEGORY-EVIDENCE,,,,
the-trading-post-sault-ste-marie,The Trading Post,Sault Ste. Marie,ON,"1332 Great Northern Rd, Sault Ste. Marie, ON P6A 5K7",http://trading-post.ca/,4.5,357,200,NO-CATEGORY-EVIDENCE,,,,
high-score-gamez-st-catharines,High Score Gamez,St. Catharines,ON,"40 Hartzel Rear, St. Catharines, ON L2P 1M5",https://highscoregamez.crystalcommerce.com/,4.9,86,200,NO-CATEGORY-EVIDENCE,,,,
cyber-city-comix-toronto,Cyber City Comix,Toronto,ON,"1025 Steeles Ave W, North York, ON M2R 2S9",http://cybercitycomix.com/,4.8,508,200,NO-CATEGORY-EVIDENCE,,,,
illusionary-toronto,Illusionary,Toronto,ON,"1106 College St, Toronto, ON M6H 1B3",http://www.illusionarycollectibles.com/,4.9,26,200,NO-CATEGORY-EVIDENCE,,,,
toybox-trading-co-vaughan,Toybox Trading Co.,Vaughan,ON,"120 Woodstream Blvd #18B, Woodbridge, ON L4L 7Z1",http://toyboxtradingco.square.site/,5,30,200,NO-CATEGORY-EVIDENCE,,,,
cartoon-kingdom-windsor,Cartoon Kingdom,Windsor,ON,"3160 Dougall Ave, Windsor, ON N9E 1S6",http://www.cartoonkingdom.ca/,4.5,252,200,NO-CATEGORY-EVIDENCE,,,,
digital-oasis-windsor,Digital Oasis,Windsor,ON,"5400 Tecumseh Rd E Unit 9, Windsor, ON N8T 1C7",http://www.digitaloasis.ca/,4.6,102,200,NO-CATEGORY-EVIDENCE,,,,
