slug,name,city,province,website,address
studio-staja-ottawa,Studio Staja,Ottawa,ON,https://staja.ca/,"507 Rideau St, Ottawa, ON K1N 5Z5"
the-comic-book-shoppe-ottawa,The Comic Book Shoppe,Ottawa,ON,http://thecomicbookshoppe.com/,"1400 Clyde Ave., Nepean, ON K2G 3J2"
the-hobby-centre-ottawa,The Hobby Centre,Ottawa,ON,http://www.hobcen.com/,"1916 Merivale Rd, Nepean, ON K2G 1E8"
toys-on-fire-ottawa,Toys on Fire,Ottawa,ON,http://www.toysonfire.ca/,"95 Abbeyhill Dr Unit D0A, Ottawa, ON K2L 2M8"
trinity-hobby-ottawa,Trinity Hobby,Ottawa,ON,https://trinityhobby.com/,"1320 Carling Ave Unit B, Ottawa, ON K1Z 7K8"
vulcan-collectibles-ottawa,Vulcan Collectibles,Ottawa,ON,https://vulcancollectibles.com/,"1886 Merivale Rd Unit 103-1, Ottawa, ON K2G 5W6"
flaring-lair-richmond-hill,Flaring Lair,Richmond Hill,ON,https://flaringlair.com/,"670 Hwy 7 Unit 62, Richmond Hill, ON L4B 3P2"
games-nook-ii-sault-ste-marie,Games Nook II,Sault Ste. Marie,ON,https://facebook.com/GamesNookII,"756 Queen St E, Sault Ste. Marie, ON P6A 2B1"
hallmark-cards-gifts-sault-ste-marie,Hallmark Cards & Gifts,Sault Ste. Marie,ON,https://stores.hallmark.com/on/saultstemarie/hallmark-cards-gifts-saultstemarie-on-031818.html,"Station Mall, 293 Bay St Unit J8-9, Sault Ste. Marie, ON P6A 1X3"
hilltribe-ontario-sault-ste-marie,Hilltribe Ontario,Sault Ste. Marie,ON,http://www.hilltribeontario.com/?utm_source=gbp,"Station Mall, 293 Bay St L9, Sault Ste. Marie, ON P6A 1X3"
kanto-kreations-sault-ste-marie,Kanto Kreations,Sault Ste. Marie,ON,https://kantokreations.ca/,"118 Brock St Unit 1, Sault Ste. Marie, ON P6A 3B5"
mark-s-autographs-and-collectables-sault-ste-marie,Mark's Autographs and Collectables,Sault Ste. Marie,ON,http://stores.ebay.com/marksautographsandcollectables,"275 Second Line W Unit 190, Sault Ste. Marie, ON P6C 2J4"
the-rad-zone-sault-ste-marie,The Rad Zone,Sault Ste. Marie,ON,http://www.theradzone.com/,"721 Queen St E, Sault Ste. Marie, ON P6A 2A8"
the-trading-post-sault-ste-marie,The Trading Post,Sault Ste. Marie,ON,http://trading-post.ca/,"1332 Great Northern Rd, Sault Ste. Marie, ON P6A 5K7"
vintage-games-n-junque-sault-ste-marie,Vintage Games 'n Junque,Sault Ste. Marie,ON,http://www.vgnj.ca/,"165 Queen St E, Sault Ste. Marie, ON P6A 1Y6"
xcite-toys-games-collectibles-sault-ste-marie,Xcite Toys Games & Collectibles,Sault Ste. Marie,ON,http://www.facebook.com/XciteToysGames,"155 Walnut St, Sault Ste. Marie, ON P6B 2E8"
high-score-gamez-st-catharines,High Score Gamez,St. Catharines,ON,https://highscoregamez.crystalcommerce.com/,"40 Hartzel Rear, St. Catharines, ON L2P 1M5"
fan-of-the-sport-st-thomas,Fan of the Sport,St Thomas,ON,https://fanofthesport.com/,"417 Wellington St, St Thomas, ON N5R 5J5"
boreal-gaming-cards-thorold,Boreal Gaming & Cards,Thorold,ON,https://borealgaming.com/,"1809 Merrittville Hwy Ste #C, Fonthill, ON L2V 5P3"
401-games-toronto,401 Games,Toronto,ON,https://store.401games.ca/,"431 Yonge St, Toronto, ON M5B 1T3"
a-c-games-toronto,A & C Games,Toronto,ON,http://www.acgamesonline.com/,"452 Spadina Ave., Toronto, ON M5T 2G8"
aj-sports-autographed-memorabilia-toronto,AJ Sports / Autographed Memorabilia,Toronto,ON,https://www.ajsports.ca/,"1200 Castlefield Ave Ste 200, York, ON M6B 1G2"
anime-alley-toronto,Anime Alley,Toronto,ON,https://animealley.ca/,"667 Yonge St, Toronto, ON M4Y 1Z9"
anime-otaku-hobby-toronto,Anime Otaku Hobby,Toronto,ON,https://animeotakuhobby.com/,"627 Bloor St W 3rd flr, Toronto, ON M6G 1K8"
banana-games-hobby-toronto,Banana Games & Hobby,Toronto,ON,https://www.bananagames.ca/,"530 Yonge St 2nd floor, Toronto, ON M4Y 1Y8"
beardycards-toronto,BeardyCards,Toronto,ON,https://beardycards.com/,"439 Danforth Ave, Toronto, ON M4K 1P1"
black-rose-hobbies-toronto,Black Rose Hobbies,Toronto,ON,https://www.blackrosehobbies.com/,"5000 Dufferin St Unit B1, North York, ON M3H 5T5"
cangeek-games-and-collectibles-toronto,CanGeek Games and Collectibles,Toronto,ON,http://www.cangeek.com/,"2351 Kennedy Rd Unit 105 (Ground Floor, Scarborough, ON M1S 4Z2"
cardify-hobby-cards-collectibles-sports-tcgs-toronto,Cardify Hobby Cards & Collectibles Sports/TCGs,Toronto,ON,http://cardifyhobby.com/,"514 Queen St W, Toronto, ON M5V 2B3"
chonky-collectibles-toronto,Chonky Collectibles,Toronto,ON,https://chonkycollectibles.com/,"438 Queen St W, Toronto, ON M5V 2A8"
cyber-city-comix-toronto,Cyber City Comix,Toronto,ON,http://cybercitycomix.com/,"1025 Steeles Ave W, North York, ON M2R 2S9"
dbsport-collectibles-toronto,Dbsport Collectibles,Toronto,ON,http://www.dbsport.ca/,"1298 St Clair Ave W, Toronto, ON M6E 1C1"
djk-entertainment-toronto,DJK Entertainment,Toronto,ON,https://djkentertainment.com/,"1604 Gerrard St E, Toronto, ON M4L 2A5"
dolly-s-sports-cards-toronto,Dolly’s Sports Cards,Toronto,ON,http://linktr.ee/dollysdowntown,"222 Spadina Ave. #229, Toronto, ON M5T 1E2"
dolly-s-toys-games-toronto-toronto,Dolly's Toys & Games Toronto,Toronto,ON,http://www.dollys.ca/,"141 Montezuma Trail, Scarborough, ON M1V 1K4"
duck-duck-games-collectibles-toronto,Duck Duck Games & Collectibles,Toronto,ON,http://duckduckgnc.com/,"605 Bloor St W, Toronto, ON M6G 2P5"
emmett-s-toystop-hobby-shop-toronto,Emmett's ToyStop & Hobby Shop,Toronto,ON,https://www.emmettstoystop.com/,"5324 Dundas St W, Etobicoke, ON M9B 1B4"
esper-cards-games-toronto,Esper Cards & Games,Toronto,ON,https://espercardsandgames.com/,"380 Old Kingston Rd, Scarborough, ON M1C 1B6"
face-to-face-games-toronto,Face to Face Games,Toronto,ON,http://facetofacegames.com/,"1398 Danforth Ave, Toronto, ON M4J 1M9"
game-nation-hobbies-games-toronto,Game Nation Hobbies & Games,Toronto,ON,http://www.gamenation.ca/,"4914A Yonge St, North York, ON M2N 5N5"
game-shack-toronto,Game Shack,Toronto,ON,http://gameshack.ca/,"39 Orfus Rd, North York, ON M6A 1L7"
go-for-game-toronto,Go For Game,Toronto,ON,https://goforgame.ca/,"478 Dundas St W Second Floor, Toronto, ON M5T 1G9"
gp-sports-cards-toronto,GP Sports Cards,Toronto,ON,https://gpsportcards.com/pages/contact-us,"3505 Lake Shore Blvd W, Etobicoke, ON M8W 1N5"
