slug,name,city,province,website,address
lvlup-games-mississauga,LVLUP GAMES,Mississauga,ON,http://www.lvlupgames.ca/,"833 Westlock Rd, Mississauga, ON L5C 1K7"
mypops-ca-erin-mills-town-centre-mississauga-toys-funko-tcg-mississauga,MyPops.ca Erin Mills Town Centre Mississauga Toys Funko TCG,Mississauga,ON,http://www.mypops.ca/,"Lower Floor near Food Court, 5100 Erin Mills Pkwy Unit B124, Mississauga, ON L5M 4Z5"
nak-gaming-online-order-pickup-only-mississauga,Nak Gaming - Online Order Pickup Only,Mississauga,ON,https://www.nakgaming.com/,"5170 Winston Churchill Blvd Unit 105, Mississauga, ON L5M 0P2"
professional-sports-authenticator-psa-canada-mississauga,Professional Sports Authenticator - PSA Canada,Mississauga,ON,https://www.psacard.com/,"5560 Explorer Dr #101, Mississauga, ON L4W 5M3"
red-riot-games-mississauga,Red Riot Games,Mississauga,ON,http://redriotgames.ca/,"265 Queen St S, Mississauga, ON L5M 1L9"
slab-sharks-sports-cards-collectibles-consignment-mississauga,Slab Sharks - Sports Cards & Collectibles Consignment,Mississauga,ON,https://www.slabsharks.com/,"6760 Davand Dr Unit 8 & 9, Mississauga, ON L5T 2L9"
the-upper-hand-mississauga,The Upper Hand,Mississauga,ON,https://www.theupperhand.ca/,"2150 Burnhamthorpe Rd W, Mississauga, ON L5L 3A2"
vtrgaming-mississauga,VTRGaming,Mississauga,ON,https://www.vtrgaming.ca/,"714 Burnhamthorpe Rd E, Mississauga, ON L4Y 2X3"
warp-zone-gaming-mississauga,Warp Zone Gaming,Mississauga,ON,https://warpzonegaming.ca/,"1151 Dundas St W #9, Mississauga, ON L5C 1C6"
x-planet-games-mississauga,X Planet Games,Mississauga,ON,http://xplanetgames.com/,"5170 Dixie Rd, Mississauga, ON L4W 1E3"
centre-ice-collectibles-niagara-falls,Centre Ice Collectibles,Niagara Falls,ON,http://centreicecollectibles.com/,"6272 Parkside Rd, Niagara Falls, ON L2H 0B2"
aces-cool-collectibles-north-bay,Aces Cool Collectibles,North Bay,ON,https://www.ebay.ca/str/acescoolcollectibles,"1180 Cassells St, North Bay, ON P1B 4B6, Canada"
top-shelf-co-oakville,Top Shelf Co.,Oakville,ON,https://topshelfco.ca/,"481 North Service Rd W A13, Oakville, ON L6M 2V6"
cards-and-coasters-orillia,Cards and Coasters,Orillia,ON,https://cardsandcoasters.com/,"58 Mississaga St E 2nd floor, Orillia, ON L3V 1V5"
addictive-hobbies-games-oshawa,Addictive Hobbies & Games,Oshawa,ON,https://addictivehobbies.wixsite.com/website,"13 King St W, Oshawa, ON L1H 1A1"
