Date,Clicks,Impressions,CTR,Position
2026-07-28,1.0,6.0,0.16670000000000001,18.3
2026-07-29,1.0,57.0,0.0175,12.7
2026-07-30,10.0,1049.0,0.0095,10.2
2026-07-31,24.0,2895.0,0.0083,10.6
2026-08-01,16.0,3139.0,0.0051,11.3
2026-08-02,9.0,1449.0,0.0062,11.2
2026-08-03,11.0,626.0,0.0176,10.8
2026-08-04,3.0,550.0,0.0055000000000000005,9.8
2026-08-05,4.0,587.0,0.0068000000000000005,9.4
